DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
5/15/2020 0:00,4136001,9kRcWv60rDACzjR,0,0,3075.333333,2247719577
5/15/2020 0:15,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 0:30,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 0:45,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 1:00,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 1:15,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 1:30,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 1:45,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 2:00,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 2:15,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 2:30,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 2:45,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 3:00,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 3:15,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 3:30,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 3:45,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 4:00,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 4:15,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 4:30,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 4:45,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 5:00,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 5:15,4136001,9kRcWv60rDACzjR,0,0,0,2087168179
5/15/2020 5:30,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 5:45,4136001,9kRcWv60rDACzjR,0,0,0,2247719577
5/15/2020 6:00,4136001,9kRcWv60rDACzjR,15.38,14.84,1.866666667,2247719579
5/15/2020 6:15,4136001,9kRcWv60rDACzjR,27.44666667,26.50666667,7.266666667,2247719584
5/15/2020 6:30,4136001,9kRcWv60rDACzjR,60.34285714,58.43571429,16.85714286,2247719594
5/15/2020 6:45,4136001,9kRcWv60rDACzjR,161.9133333,158.3666667,41.93333333,2247719619
5/15/2020 7:00,4136001,9kRcWv60rDACzjR,312.4933333,307.0333333,100.7333333,2247719678
5/15/2020 7:15,4136001,9kRcWv60rDACzjR,385.7733333,379.0866667,187.1333333,2247719764
5/15/2020 7:30,4136001,9kRcWv60rDACzjR,468.3933333,459.58,294.2666667,2247719871
5/15/2020 7:45,4136001,9kRcWv60rDACzjR,557.9642857,546.8571429,417.3571429,2247719994
5/15/2020 8:00,4136001,9kRcWv60rDACzjR,568.5333333,557.16,551.8,2247720129
5/15/2020 8:15,4136001,9kRcWv60rDACzjR,648.66,635.4333333,702.4666667,2247720279
5/15/2020 8:30,4136001,9kRcWv60rDACzjR,740.6933333,725.2333333,872.6,2247720450
5/15/2020 8:45,4136001,9kRcWv60rDACzjR,814.2428571,796.9357143,1062.928571,2247720640
5/15/2020 9:00,4136001,9kRcWv60rDACzjR,854.6266667,836.2933333,1259.333333,2247720836
5/15/2020 9:15,4136001,9kRcWv60rDACzjR,923.5866667,903.4266667,1481.8,2247721059
5/15/2020 9:30,4136001,9kRcWv60rDACzjR,992.7533333,970.7333333,1718.533333,2247721296
5/15/2020 9:45,4136001,9kRcWv60rDACzjR,1048.18,1024.633333,1970.933333,2247721548
5/15/2020 10:00,4136001,9kRcWv60rDACzjR,1087.485714,1062.828571,2226.571429,2247721804
5/15/2020 10:15,4136001,9kRcWv60rDACzjR,1147.933333,1120.733333,2492.066667,2247722069
5/15/2020 10:30,4136001,9kRcWv60rDACzjR,1186.926667,1157.26,2785.933333,2247722363
5/15/2020 10:45,4136001,9kRcWv60rDACzjR,1234.293333,1203.473333,3080.866667,2247722658
5/15/2020 11:00,4136001,9kRcWv60rDACzjR,1254.76,1223.386667,3390.933333,2247722968
5/15/2020 11:15,4136001,9kRcWv60rDACzjR,1257.985714,1226.528571,3691,2247723268
5/15/2020 11:30,4136001,9kRcWv60rDACzjR,1273.593333,1241.766667,3991.4,2247723568
